"","carat","cut","color","clarity","depth","table","price","x","y","z"
"21031",0.31,"Very Good","H","VVS2",61.2,60,625,4.37,4.39,2.68
"19651",1.31,"Ideal","H","VS2",61.8,57,8261,7.02,7.06,4.35
"52424",0.77,"Very Good","I","VS2",63.2,58,2513,5.79,5.85,3.68
"44945",0.51,"Ideal","G","VS1",61.2,55,1634,5.15,5.19,3.16
"30550",0.31,"Ideal","D","VS2",62.6,56,734,4.33,4.36,2.72
"53873",0.74,"Premium","H","VS1",60.6,60,2744,5.91,5.84,3.56
"40092",0.33,"Premium","G","VVS1",60.9,58,1114,4.47,4.43,2.71
"43577",0.41,"Ideal","E","VVS1",60.7,57,1431,4.85,4.8,2.93
"43820",0.51,"Good","E","SI1",63.9,54,1443,5.09,5.05,3.24
"19933",1.08,"Ideal","D","VS2",61.9,58,8481,6.54,6.57,4.06
"41267",0.31,"Ideal","I","VS1",62.5,53.4,502,4.31,4.34,2.7
"7898",1,"Fair","H","VVS2",65.1,57,4312,6.27,6.23,4.07
"23235",2.36,"Ideal","I","SI2",60.8,54,11238,8.68,8.57,5.24
"35194",0.31,"Ideal","G","IF",61,57,891,4.36,4.39,2.67
"7805",0.9,"Very Good","D","SI1",61.8,59,4291,6.13,6.16,3.8
"28216",0.38,"Very Good","G","SI1",62.4,59,666,4.59,4.64,2.88
"1540",0.72,"Very Good","D","SI1",61.5,58,3001,5.74,5.78,3.54
"3805",0.9,"Very Good","F","SI2",63.4,60,3465,6.06,6.09,3.85
"39959",0.33,"Good","D","SI2",63.3,53,492,4.39,4.42,2.79
"6273",1.12,"Premium","H","SI2",62.1,56,4014,6.7,6.65,4.14
"41565",0.51,"Premium","E","SI1",62.6,60,1237,5.13,5.06,3.2
"27692",0.41,"Ideal","J","VS1",61.5,55,648,4.77,4.79,2.94
"29936",0.34,"Ideal","E","SI1",62.2,54,714,4.5,4.47,2.79
"28888",0.3,"Good","G","VVS2",63.2,57,684,4.24,4.27,2.69
"27509",2.19,"Premium","E","SI2",62.4,61,18232,8.31,8.23,5.16
"48907",0.62,"Very Good","F","VS2",59.8,58,2041,5.55,5.59,3.33
"50998",0.31,"Very Good","I","VVS2",62.2,57,544,4.34,4.37,2.71
"23722",0.25,"Very Good","F","VVS1",60.8,57,633,4.08,4.1,2.48
"42436",0.53,"Ideal","D","SI2",61.9,55,1314,5.19,5.24,3.23
"6893",1.1,"Good","I","SI1",63.1,61,4133,6.49,6.56,4.12
"35896",0.32,"Ideal","G","IF",61.7,54,918,4.42,4.46,2.74
"13055",1.03,"Premium","D","SI1",60.5,61,5410,6.47,6.43,3.9
"25515",2.03,"Ideal","E","SI2",62.3,56,14308,8.11,8.09,5.05
"3540",0.73,"Ideal","G","VS1",60.7,57,3411,5.85,5.81,3.54
"42596",0.5,"Ideal","E","SI1",62.2,57,1331,5.05,5.08,3.15
"48079",0.6,"Ideal","G","VS2",61.1,55,1930,5.46,5.48,3.34
"3515",0.81,"Very Good","H","VS1",62.5,57,3404,5.94,5.96,3.72
"34569",0.31,"Ideal","E","VS1",61.6,55,871,4.37,4.39,2.7
"12367",0.26,"Very Good","F","VVS1",62,59,597,4.08,4.15,2.55
"44839",0.6,"Premium","E","SI1",60.8,58,1625,5.46,5.5,3.33
"39412",0.41,"Ideal","F","VS1",61.3,55,1076,4.83,4.79,2.95
"49509",0.5,"Very Good","F","VVS1",62.2,57,2121,5.03,5.07,3.14
"52107",0.47,"Ideal","D","VVS1",62,54,2460,4.99,5.01,3.1
"39682",0.46,"Premium","G","VS1",62.8,57,1087,4.92,4.83,3.06
"41476",0.5,"Premium","F","SI1",61.7,57,1231,5.09,5.06,3.13
"26588",2.01,"Good","I","VS2",62.4,62,16304,7.91,7.99,4.96
"10044",0.31,"Ideal","J","SI1",61.3,56,418,4.37,4.4,2.69
"20768",1.04,"Ideal","F","VVS2",61.2,57,9005,6.5,6.53,3.99
"25417",1.51,"Good","F","SI1",59.5,58,14148,7.35,7.44,4.4
"5713",0.25,"Very Good","F","VVS2",63.2,57,575,3.99,4.01,2.53
"2033",0.9,"Premium","H","SI2",59.6,59,3105,6.38,6.24,3.76
"38478",0.42,"Ideal","G","VVS2",62.1,57,1031,4.77,4.8,2.97
"34374",0.41,"Ideal","F","VS2",61.8,57,863,4.75,4.79,2.95
"40857",0.53,"Very Good","E","SI2",63,57,1174,5.13,5.16,3.24
"36844",0.37,"Ideal","F","VS2",60.6,56,957,4.64,4.63,2.81
"16795",1.02,"Very Good","G","VS1",61.9,58,6694,6.44,6.48,4
"20958",1.25,"Premium","G","VS1",61.8,58,9173,6.94,6.91,4.28
"11976",1.2,"Good","G","SI2",63.6,54,5141,6.75,6.71,4.28
"40025",0.33,"Very Good","D","VS1",63.2,56,1109,4.45,4.44,2.81
"9080",1.02,"Good","H","SI2",61.4,60,4521,6.44,6.49,3.97
"49841",0.59,"Ideal","G","VVS2",62.2,56,2169,5.35,5.39,3.34
"32404",0.37,"Premium","F","SI1",61.6,59,791,4.67,4.62,2.86
"41978",0.55,"Ideal","F","SI2",62.4,56,1263,5.26,5.22,3.27
"51681",0.72,"Premium","H","SI1",61.5,56,2398,5.8,5.77,3.56
"40985",0.5,"Good","E","SI2",63.7,55,1181,5.08,5.03,3.22
"17261",1.23,"Premium","G","SI1",62.5,59,6909,6.84,6.77,4.25
"43314",0.55,"Ideal","H","VS2",62.5,54,1402,5.24,5.29,3.29
"16162",1.23,"Very Good","H","VS2",61.6,59,6459,6.84,6.86,4.22
"15822",1.01,"Premium","F","VS2",60.8,58,6330,6.44,6.49,3.93
"5029",0.92,"Premium","F","SI1",62.6,59,3749,6.19,6.23,3.89
"22141",2.19,"Premium","J","SI2",58.8,58,10179,8.57,8.53,5.03
"10630",1.15,"Premium","H","SI2",61.6,60,4830,6.75,6.72,4.15
"40734",0.54,"Ideal","F","SI2",61.2,56,1162,5.27,5.28,3.23
"31804",0.37,"Very Good","H","VVS1",61.9,55,774,4.6,4.66,2.86
"46955",0.3,"Premium","G","VS2",61.6,60,526,4.28,4.33,2.65
"43540",0.41,"Ideal","D","VS1",61.1,56,1427,4.8,4.83,2.94
"44091",0.57,"Ideal","H","VS1",61.7,54,1554,5.33,5.36,3.3
"32107",0.4,"Very Good","I","VVS2",63.7,58,782,4.64,4.68,2.97
"3800",1,"Good","I","SI2",63.9,60,3465,6.26,6.3,4.01
"41322",0.52,"Ideal","I","VS2",61.5,56,1214,5.19,5.21,3.2
"44636",0.57,"Very Good","G","VS2",62.8,57,1608,5.23,5.28,3.3
"6121",1.01,"Ideal","J","SI2",59,59,3982,6.57,6.61,3.89
"19417",1.12,"Very Good","G","VVS1",58.9,60,8072,6.78,6.91,4.03
"30594",0.31,"Ideal","D","VS2",62.1,55,734,4.32,4.35,2.69
"36564",0.35,"Ideal","I","IF",62.5,55,945,4.54,4.52,2.83
"39780",0.36,"Premium","D","VS2",61,59,1094,4.61,4.57,2.8
"26294",1.52,"Good","E","VS1",63.9,56,15792,7.25,7.21,4.62
"48863",0.7,"Very Good","H","SI2",59.9,57,2034,5.74,5.77,3.45
"4128",1,"Good","G","SI2",58.1,65,3541,6.48,6.46,3.76
"33966",0.34,"Ideal","F","VVS2",62,54.2,846,4.47,4.49,2.78
"27316",2,"Premium","D","SI2",61.6,59,17835,8.2,8.09,5.02
"17205",1.31,"Ideal","I","VS2",61.7,55,6873,7,7.1,4.35
"37466",0.42,"Ideal","G","VS1",61.8,56,984,4.84,4.8,2.98
"33141",0.31,"Good","G","VVS1",63.4,57,816,4.32,4.36,2.75
"11760",1.26,"Premium","I","SI2",60.1,59,5080,7.03,6.99,4.21
"53567",0.7,"Premium","E","VS1",62.7,60,2695,5.64,5.59,3.52
"16691",0.31,"Ideal","H","SI1",61.3,57,421,4.36,4.38,2.68
"770",0.7,"Good","E","VVS2",63.6,62,2858,5.61,5.58,3.56
"45977",0.3,"Very Good","H","VS1",60.1,61,526,4.3,4.32,2.59
"894",0.7,"Ideal","F","VS1",62.4,56,2874,5.69,5.65,3.54
"11489",1.02,"Ideal","G","SI1",62.4,55,5016,6.43,6.48,4.03
"23735",2.01,"Very Good","H","SI2",63.4,60,11780,7.97,7.89,5.03
"19947",2.34,"Premium","I","I1",61.5,60,8491,8.47,8.43,5.2
"16355",0.3,"Premium","H","VS2",62.7,59,608,4.27,4.22,2.66
"42760",0.56,"Ideal","G","SI1",62.5,57,1345,5.26,5.23,3.28
"1330",0.76,"Ideal","F","VS2",62.6,56,2960,5.82,5.78,3.63
"40672",0.44,"Premium","F","VS1",61.2,61,1155,4.88,4.83,2.97
"25990",2.11,"Premium","D","SI2",58.7,60,15198,8.45,8.41,4.95
"52110",0.7,"Good","D","SI2",59.3,60,2461,5.74,5.8,3.42
"5768",0.9,"Good","F","SI1",62.4,55,3898,6.17,6.21,3.86
"29330",0.31,"Premium","H","VS1",62.8,58,698,4.31,4.29,2.7
"29242",0.37,"Premium","F","VS2",60.5,59,696,4.62,4.67,2.81
"44475",0.52,"Ideal","G","VS2",60.8,57,1595,5.19,5.21,3.16
"7711",0.33,"Ideal","E","SI1",62,54,579,4.41,4.43,2.74
"29111",0.34,"Premium","H","VS2",61.7,60,689,4.51,4.47,2.77
"29157",0.38,"Ideal","F","SI1",62.5,53.7,693,4.64,4.66,2.91
"29306",0.25,"Ideal","G","VS1",62,54,438,4.06,4.07,2.52
"25142",1.5,"Very Good","E","VS2",61.7,60,13710,7.29,7.34,4.51
"22555",1.53,"Very Good","I","VS1",62.8,55,10602,7.35,7.4,4.63
"31227",0.32,"Premium","D","SI1",62.6,58,756,4.36,4.33,2.72
"872",0.7,"Very Good","D","SI1",60.2,60,2872,5.75,5.82,3.48
"757",0.9,"Premium","I","VS2",61.9,59,2857,6.2,6.14,3.82
"8163",0.7,"Very Good","D","VVS1",63.4,59,4362,5.63,5.64,3.57
"34117",0.31,"Ideal","E","VVS1",61.7,56,853,4.38,4.4,2.71
"43810",0.51,"Ideal","G","VS2",62,56,1443,5.18,5.11,3.19
"43682",0.5,"Ideal","F","VS2",61.2,57,1436,5.1,5.13,3.13
"16253",1.01,"Ideal","F","VS2",62.6,57,6501,6.39,6.43,4.01
"10387",0.38,"Ideal","I","SI1",61.8,54,593,4.66,4.7,2.89
"9612",1.02,"Very Good","G","SI1",62,57,4633,6.41,6.5,4
"45764",0.5,"Very Good","H","IF",61.3,60,1706,5.08,5.17,3.14
"46529",0.51,"Ideal","G","VS1",61.9,56,1781,5.14,5.1,3.17
"17518",1.04,"Premium","E","VS2",61.1,59,7047,6.54,6.56,4
"30615",0.34,"Very Good","F","SI2",61.7,61,447,4.44,4.48,2.75
"32119",0.37,"Very Good","E","VS1",63.5,59,784,4.55,4.59,2.9
"10167",1.03,"Premium","E","SI2",61.8,56,4730,6.5,6.47,4.01
"9396",1.03,"Ideal","F","SI2",60.5,58,4586,6.55,6.49,3.94
"39639",0.49,"Premium","G","SI2",59.4,60,1084,5.17,5.14,3.06
"760",0.81,"Very Good","F","SI1",61.3,57,2858,6.02,6.05,3.7
"53373",0.71,"Premium","D","VS2",62.7,58,2659,5.53,5.67,3.54
"23744",2,"Premium","J","VS1",62,62,11793,8.02,7.91,4.94
"10337",1.02,"Ideal","H","SI2",61.4,58,4766,6.47,6.52,3.99
"32036",0.32,"Ideal","E","VVS2",62.1,53,779,4.41,4.44,2.75
"2159",0.75,"Ideal","E","SI2",62.6,55,3129,5.72,5.79,3.6
"14610",1.23,"Ideal","F","SI2",62.3,58,5894,6.8,6.84,4.25
"37153",0.32,"Ideal","D","VS2",62.2,56,972,4.39,4.36,2.72
"50813",0.81,"Ideal","J","SI1",62,56,2307,6,6.03,3.73
"35597",0.31,"Premium","H","VVS1",63,58,907,4.37,4.33,2.74
"10095",1.1,"Premium","G","SI1",59.6,60,4712,6.74,6.7,4
"32186",0.41,"Ideal","I","VVS2",61.6,55,788,4.78,4.8,2.95
"52795",0.7,"Good","E","SI1",63.3,60,2569,5.56,5.59,3.53
"50275",0.7,"Good","E","SI1",61.9,58,2239,5.63,5.67,3.5
"46938",0.52,"Premium","E","VS2",60.3,60,1815,5.21,5.17,3.13
"43393",0.57,"Ideal","I","VS2",61.9,57,1410,5.3,5.33,3.29
"20429",1.34,"Ideal","H","VS1",61.6,57,8780,7.14,7.07,4.38
"27535",2.14,"Premium","E","SI2",61.5,58,18291,8.31,8.24,5.09
"24868",2.02,"Good","I","SI1",64.3,56,13286,7.85,7.99,5.09
"20497",1.59,"Premium","H","SI1",61,58,8829,7.58,7.51,4.6
"40503",0.43,"Very Good","G","VVS1",60.7,57,1143,4.87,4.89,2.96
"12697",0.36,"Ideal","H","VS2",62,55,599,4.58,4.63,2.86
"4867",0.8,"Ideal","F","VS2",61.2,58,3713,5.99,6.03,3.68
"47333",0.23,"Very Good","E","VVS1",60.9,58,530,3.95,3.96,2.41
"26905",2.26,"Ideal","I","SI1",62.4,57,16904,8.43,8.37,5.24
"2473",0.76,"Ideal","E","VS2",61.5,56,3192,5.92,5.89,3.63
"37320",0.35,"Ideal","G","IF",60.2,55,979,4.63,4.64,2.79
"37544",0.39,"Ideal","F","VVS2",61.3,56,988,4.73,4.77,2.91
"7332",0.91,"Very Good","G","VS1",63.4,54,4209,6.24,6.07,3.9
"53887",0.7,"Good","D","VS2",58,62,2749,5.78,5.87,3.38
"7696",1,"Good","H","SI1",64.9,56,4276,6.24,6.31,4.07
"24370",0.41,"Ideal","J","VS2",61.8,55,637,4.78,4.81,2.96
"25220",1.5,"Ideal","G","VS1",61.3,53.9,13820,7.37,7.42,4.53
"10962",1.18,"Fair","F","SI2",55.9,64,4903,7.15,7.01,3.95
"40769",0.5,"Ideal","J","VS2",62,56,1166,5.08,5.12,3.16
"41339",0.42,"Ideal","E","VVS2",62.3,55,1216,4.76,4.81,2.98
"36226",0.33,"Very Good","D","VVS2",59.5,56,933,4.51,4.56,2.7
"48501",0.71,"Very Good","J","VS1",63.3,55,1981,5.66,5.62,3.57
"11806",1.06,"Very Good","E","SI1",61.4,58,5090,6.53,6.62,4.04
"12164",1.13,"Very Good","H","SI2",62,58,5179,6.67,6.71,4.15
"3273",1,"Ideal","E","I1",63,57,3360,6.35,6.32,3.99
"13469",1.04,"Ideal","E","SI2",62.3,55,5531,6.46,6.49,4.03
"23306",1.52,"Very Good","G","VS2",63.3,57,11338,7.32,7.27,4.62
"22642",1.51,"Premium","G","SI1",62.4,62,10688,7.25,7.12,4.48
"46776",0.53,"Ideal","F","VS2",61.6,57,1803,5.21,5.15,3.19
"20088",1.12,"Very Good","G","VVS2",62.6,59,8564,6.58,6.61,4.13
"23106",1.51,"Premium","G","SI1",59.6,60,11129,7.47,7.43,4.44
"10721",0.31,"Premium","D","SI2",62.7,59,593,4.35,4.3,2.71
